Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-08-07 13:13:55+00:00,iamRichaun,"Sunday Morning Ritual:

- meditate (10 mins) &amp; pray 
- brush teeth &amp; wash face 
- brew coffee &amp; roll sativa hybrid strain
- play morning spiritual music playlist while having coffee &amp; THC 
- Thank God in advance for a great day

This is my foundation for peace on Sundays.",,"ï¿½T: 33.946999,-84.139488",,THC,1,8,0,2923
2022-08-07 00:22:42+00:00,realkub,"NE farmers market
early voted
powderhorn art fair
THC beverage
slice pizza
new episode of mst3k

good saturday",,SE Mpls,,THC,0,10,0,626
2022-08-06 20:20:39+00:00,thesmokeguru704,Jeeter juice  thc  .5 gram disposables #charlottegas #charlotteweed #charlotteplug https://t.co/6TJ3tVoVtS,"['charlottegas', 'charlotteweed', 'charlotteplug']",LA 📦 NC,,THC,0,4,1,414
2022-08-06 14:30:48+00:00,OhioGreenTeam,"If you've ever bitten too far in to the leg of a #THC gummy bear before, this may be useful information to keep in mind. Keep #CBD oil in your medicine cabinet!

#CannabisCures #Edibles #EdibleSafety #GreenTeam #MedicalMarijuana #MarijuanaTips #Cannabis https://t.co/dY1eiJ0V6b","['THC', 'CBD', 'CannabisCures', 'Edibles', 'EdibleSafety', 'GreenTeam', 'MedicalMarijuana', 'MarijuanaTips', 'Cannabis']",Throughout Ohio via Telemed!,,THC,0,3,2,27486
2022-08-06 11:45:40+00:00,MarijuanaFollow,"Gushers 💨🔥also known as ""White Gushers,"" is a hybrid #marijuana strain and a member of the Cookies family with Gelato 41 as parents
With a THC- 27.63%
it's available as flower or extract😋
People consume Gushers for pleasure, wellness, and medical symptom  including pain etc https://t.co/fyyyQPXfod",['marijuana'],"New Jersey, USA",,THC,0,7,3,1671
2022-08-05 21:13:04+00:00,CokaneBerry,Pack Day 😎 #thc #LasVegas #gas #shop #cookies #og #packboyz https://t.co/RfJZiTjreo,"['thc', 'LasVegas', 'gas', 'shop', 'cookies', 'og', 'packboyz']","Las Vegas, NV",,THC,0,3,0,403
2022-08-05 17:55:39+00:00,ViralNewsNYC,"Another smoke shop in NYC that has been robbed for "" CBD "" 
Let's not play stupid,  it was most likely robbed for cannabis and other THC products.  As of now cannabis sales law are up in the air. A lot of smoke shops in NYC are selling weed . https://t.co/imtnS894NY",,"New York, NY",,THC,4,32,8,30568
2022-08-05 17:37:48+00:00,MccullochAj,Nobody should be locked up for using weed/THC products! Especially those of us who need it for medical reasons! And Kansas docs refuse to help me with pain management! #LEGALIZE #WeedLovers #MedicalMarijuana #marijuana #autoimmune #ChronicPain #chronicillness https://t.co/bZxJzgkqMl,"['LEGALIZE', 'WeedLovers', 'MedicalMarijuana', 'marijuana', 'autoimmune', 'ChronicPain', 'chronicillness']",United States,,THC,0,3,2,145
2022-08-05 13:42:50+00:00,RichBeLit,Legalize THC in every state. It’s no way 50% of a country is divided on the matter,,"Kinston, NC",,THC,0,4,4,8119
2022-08-05 12:12:13+00:00,packardxpower,a strain called Terminal Dogma that the THC content will melt your brain into LCL https://t.co/B4G3dU1i3U,,"Orange, MA",,THC,0,3,0,1170
2022-08-04 16:19:15+00:00,canna__momma,"Happy THC beautiful stoners 🌈 
Just picked up some goodies from @Trulieve in Inverness &amp; they are having a sale, I got 30% off. Go on ya!
Stoners please consume copious amounts of THC today. Remember, we run the 🌎 
#Mmemberville https://t.co/IiODP2NCEQ",['Mmemberville'],"Florida, USA","[User(username='Trulieve', id=756096706014478348, displayname='Trulieve', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,0,19,4,7095
2022-08-04 15:59:58+00:00,BaconOverHumans,9 years for less than a gram of mf THC oil. That’s sick as fuck.,,"Atlanta, GA",,THC,0,2,1,3216
